LEIM1,LEIM2,TaxaID
-0.01819795068064424,-0.01728198587426396,A34Benga
0.007538723967500905,0.13194112717789194,A72Ewondo
-0.019191336040145585,-0.03964028054681979,A751Fang
-0.02003729355797351,-0.0451230415350183,A751FangMakina
-0.007927965915690557,0.16460687839097252,A75Fang2dMake
-0.016215345850662664,-0.025195163617178055,B11cGalwa
-0.01998464120131543,-0.04533989525130694,B25Kota
-0.022956508778177696,-0.03148582431889692,B27Sake
-0.014370910252618422,-0.012454465004172771,B31Tsogo
-0.020822800302959278,-0.03906116412497614,B41Shira
-0.02086732537903973,-0.03890775070834529,B43Punu
-0.016635360103123435,-0.04678240751147915,B51Duma
-0.019984645826810383,-0.04533990754948102,B521Nzebi
-0.023793009393128,-0.02943987946860142,B62Mbamba
-0.020185889030606904,-0.045456253501800714,B63Ndumo
-0.0219069712956843,-0.010258310489557715,B735Teke
-0.02005951715481975,-0.04506702100850881,B84Mpuono
-0.020006890054047946,-0.04528388682466042,B85Yanz
-0.021422915739422548,-0.029985487017579315,C13Mbati
0.9897180578885149,-0.06054722827886271,C55Kele
-0.006035402430453237,-0.04539729299513559,E51Gikuyu
0.012464910049780394,0.22581272224109866,E55Kamba
-0.0045253716639995735,-0.01457978574430787,Efi
-0.01959995433414092,-0.045055042897836045,F21Sukuma
0.009113800553247902,0.1559012267476017,G11Gogo
0.012156752099950085,0.2748036617392905,G22Pare
-0.019820727804073773,-0.044154334362658094,H16hSikongo
-0.013663763298635851,-0.04016569830650882,H31Yaka
-0.018824983763140842,-0.0441213063817417,K11Ciokwe
-0.019019851302499616,-0.04518833668359069,K14Lwena
-0.018975941740865202,-0.045445850325501115,K15Mbunda
-0.0188246486886268,-0.04475908005792426,K19Gangela
-0.018720095713194357,-0.0441668476430188,K222LundaMwinilunga
-0.019180029249785537,-0.044139278179096644,K31Luyi
-0.018739328236669836,-0.046227999757910865,K33Kwangali
-0.02009821676155454,-0.04519887028554049,K41Totela
-0.017652557323630295,-0.04476127748488125,L342Hembamambwe
-0.017777778009808873,-0.04511067719340214,L42Kaonde
-0.018687484382146086,-0.045763670792698524,L62Nkoya
-0.0182317299214246,-0.044556122426724944,M42Bemba
-0.01737742693991518,-0.04298194754098898,M43Aushi
-0.015817877757897753,0.003306339758092144,M52Lala
0.00825675534460856,0.7227593393320171,M54Lamba
-0.019000228441050492,-0.043881246332590655,M61Lenje
-0.01896261947632374,-0.0455530001667258,M64Tonga
-0.013333973059937769,-0.037390312719609124,N212Tumbuka
-0.017224984073724747,-0.043084916948309404,N31bCewa
-0.017491046703667402,-0.0439990805222812,N41Senga
0.007759050886004475,0.19162958262911242,N44Sena
-0.018628804986896442,-0.04566439992940813,R111Umbundu
-0.017982904376485063,-0.044630265201004465,R21Kwanyama
-0.018451840199067336,-0.044814523231404065,R31Herero
-0.017875831700643434,-0.04178266671978538,S10Shona
0.007263412717906994,0.0919388132126082,S15Ndau
-0.01845086405957615,-0.04500519235784669,S16Kalanga
-0.01801140335551611,-0.04379820644638677,S21Venda
-0.017816387810186293,-0.04321819413948849,S31dKhalaxadi
-0.01739948209801415,-0.04235574398820979,S31Tswana
-0.01914118643771927,-0.015056537319934706,S33Sotho
-0.018619430776304312,-0.045611280726850334,S34Lozi
-0.01936049823707211,-0.04427293070075171,S41Xhosa
-0.019477595618685496,-0.01900114519683034,S42Zulu
-0.017302211800096452,-0.04296536221859426,S44Ndebele
-0.01827123103503928,-0.04280296089912637,S45Ngoni
0.007966874872754487,0.37080100108761765,S51Tswa
-0.01824115401169863,-0.045776264274937715,S53Tsonga
-0.017985693519564163,-0.04568288415617911,S54Ronga
-0.017068520723666426,-0.04273020642907151,Yor
