x,y,TaxaID
-27.8230354725125,-1.2395852468983415,A34Benga
-27.81972197360944,-1.2514471315388176,A72Ewondo
-27.8160665579447,-1.254834437229712,A751Fang
153.84490714011426,-5.012082949089814,A751FangMakina
-27.817365487974595,-1.2465909004979752,A75Fang2dMake
-27.820184775144643,-1.2389988512901893,B11cGalwa
153.84476020084728,-5.011853282946256,B25Kota
-27.82028838895282,-1.2393740686545063,B27Sake
-27.821010864576998,-1.2349913690060972,B31Tsogo
-27.821441680701067,-1.2374423700185897,B41Shira
-27.822794418836917,-1.237208169337759,B43Punu
-27.817234556522735,-1.24086077304124,B51Duma
153.84335495390596,-5.011920139662813,B521Nzebi
-27.821341725437108,-1.2395004913370498,B62Mbamba
153.84391101758257,-5.011983334042137,B63Ndumo
-27.81714825963596,-1.2416247517686825,B735Teke
153.84549130888556,-5.012557187810679,B84Mpuono
153.84430055169634,-5.012221972787563,B85Yanz
-26.905583116983028,-1.7985151514714068,C13Mbati
-27.821079473424508,-1.238598926155648,C55Kele
-27.819467043500996,-1.2398109567527758,E51Gikuyu
-27.817672459658628,-1.238213247271273,E55Kamba
-27.817208681256847,-1.2469087374650634,Efi
153.86307398476097,-5.011482479039633,F21Sukuma
-27.829078851125715,-1.2458998113282962,G11Gogo
-27.825696647944092,-1.251822556803453,G22Pare
153.8598363772728,-5.010285353429396,H16hSikongo
-26.901737223649665,-1.6821924767956045,H31Yaka
-27.82117496612565,-1.2406956243873846,K11Ciokwe
-27.822288803258438,-1.2482930546154993,K14Lwena
-27.82175663253787,-1.2468309744747814,K15Mbunda
-27.821453899418962,-1.2463640829508658,K19Gangela
-27.822693259882474,-1.2499036396555592,K222LundaMwinilunga
-27.820905780902883,-1.2439072939902105,K31Luyi
-27.82405779469879,-1.2474425665908742,K33Kwangali
153.84429698988234,-5.012409461570978,K41Totela
-27.825526841936878,-1.2397150492520985,L342Hembamambwe
-27.823928819488295,-1.2429833641089842,L42Kaonde
-27.823147516067902,-1.2473135178826933,L62Nkoya
-27.823866492434618,-1.2455544625059762,M42Bemba
-27.82190206023097,-1.2492327098558957,M43Aushi
45.53343921435066,124.32376093322033,M52Lala
-27.816232461235025,-1.246886804404164,M54Lamba
-27.82196103106529,-1.2442773142575632,M61Lenje
-27.82211886757883,-1.2466461750878375,M64Tonga
-27.821188191224213,-1.2416105916578037,N212Tumbuka
-27.825927190779716,-1.238467607849849,N31bCewa
-27.826148647389093,-1.2428808062691072,N41Senga
-27.816388523873755,-1.245040002688611,N44Sena
-27.822749533010548,-1.2411330057146142,R111Umbundu
-27.822417081768908,-1.2459471183493878,R21Kwanyama
-27.820885450669067,-1.243702904847737,R31Herero
-27.831655382124623,-1.2420473763720732,S10Shona
-27.816801248450684,-1.2471432429812803,S15Ndau
-27.823922372432317,-1.249742181377499,S16Kalanga
-27.821190860163515,-1.2502749386373695,S21Venda
-27.822717508755666,-1.2401566570803448,S31dKhalaxadi
-27.81335183543755,-1.2471340722311508,S31Tswana
-27.835706912321918,-2.3943878162334684,S33Sotho
-27.82256901905094,-1.242358927338361,S34Lozi
153.86456903281928,-5.0124849221325,S41Xhosa
-27.843403111702933,-2.3997954269591344,S42Zulu
-27.82483750698312,-1.245035792838228,S44Ndebele
-27.82222492786573,-1.2384667225357007,S45Ngoni
-27.81970811632992,-1.2497136843936003,S51Tswa
-27.821502284398793,-1.2456691747079252,S53Tsonga
-27.82633434450812,-1.2431040708125902,S54Ronga
-27.822137836621526,-1.2402006701506498,Yor
