TaxaID,GuthrieZone,LEIM1,LEIM2
A751Fang,A,-0.022068844,-0.043731878
B31Tsogo,B,0.00125594,-0.040865113
B735Teke,B,0.004610412,-0.031490055
K11Ciokwe,K,-0.342956507,0.875731081
L42Kaonde,L,0.010789779,-0.131668657
M42Bemba,M,-0.08137386,-0.265780968
M52Lala,M,-3.00E-06,-1.41E-04
N212Tumbuka,N,-0.013153733,-0.07180365
N31bCewa,N,-0.052083698,-0.028608888
R111Umbundu,R,0.898248559,0.24831834
R31Herero,R,-0.112517713,-0.176763572
S31Tswana,S,-0.023692791,-0.029040683
S33Sotho,S,2.61E-04,9.58E-04
S34Lozi,S,-0.226585185,-0.132297182
S44Ndebele,S,-0.021889608,-0.021663203
S45Ngoni,S,-0.018840996,-0.151152664
