x,y,GuthrieZone
-18.077212940946612,7.939656549078291,A
-18.10217521112462,7.950269392196562,B
22.91904559845919,4.240177831587682,C
22.924346134391477,4.261835933662096,E
-157.69656820067772,22.178930025272532,F
22.92933477137509,4.265506272384565,G
22.91120690661406,4.262580811907643,H
22.923180434902324,4.247253087108676,K
22.93338982028063,4.261056936210993,L
-35.3630322835416,-80.65694013314743,M
22.919503353459316,4.2611545557339126,N
22.92900335340728,4.265194801458216,R
22.92344842303016,4.26906294487338,S
22.926529840370993,4.254260991673017,Z
